model,type,encoding,epsilon,attack,accuracy,f1,roc_auc,clean_acc,adv_acc,qubits,depth,shots,backend,seed,wall_clock_s
SVM-RBF,classical,-,0.02,pgd,0.225,0.3586206896551724,0.09455667789001121,0.8833333333333333,0.225,,,,cpu,0,
SVM-RBF,classical,-,0.05,pgd,0.041666666666666664,0.06504065040650407,0.005050505050505042,0.8833333333333333,0.041666666666666664,,,,cpu,0,
SVM-RBF,classical,-,0.1,pgd,0.0,0.0,0.0,0.8833333333333333,0.0,,,,cpu,0,
SVM-RBF,classical,-,0.15,pgd,0.0,0.0,0.0,0.8833333333333333,0.0,,,,cpu,0,
SVM-RBF,classical,-,0.2,pgd,0.0,0.0,0.0,0.8833333333333333,0.0,,,,cpu,0,
VQC-angle,quantum,angle,0.0,fgsm,0.7083333333333334,0.7107438016528925,0.8605499438832773,0.7083333333333334,0.7083333333333334,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.0,fgsm,0.7083333333333334,0.72,0.8605499438832773,0.7083333333333334,0.7083333333333334,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.02,fgsm,0.6666666666666666,0.6774193548387096,0.664421997755331,0.7083333333333334,0.6666666666666666,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.02,fgsm,0.6666666666666666,0.6825396825396826,0.664421997755331,0.7083333333333334,0.6666666666666666,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.05,fgsm,0.5666666666666667,0.6119402985074627,0.5681818181818181,0.7083333333333334,0.5666666666666667,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.05,fgsm,0.55,0.6086956521739131,0.5681818181818181,0.7083333333333334,0.55,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.1,fgsm,0.2916666666666667,0.45161290322580644,0.3858024691358025,0.7083333333333334,0.2916666666666667,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.1,fgsm,0.3,0.46153846153846156,0.3858024691358025,0.7083333333333334,0.3,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.15,fgsm,0.24166666666666667,0.38926174496644295,0.23793490460157127,0.7083333333333334,0.24166666666666667,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.15,fgsm,0.25,0.4,0.23793490460157127,0.7083333333333334,0.25,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.2,fgsm,0.20833333333333334,0.3448275862068966,0.08641975308641975,0.7083333333333334,0.20833333333333334,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.2,fgsm,0.20833333333333334,0.3448275862068966,0.08641975308641975,0.7083333333333334,0.20833333333333334,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.0,pgd,0.7083333333333334,0.7107438016528925,0.8605499438832773,0.7083333333333334,0.7083333333333334,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.0,pgd,0.7083333333333334,0.72,0.8605499438832773,0.7083333333333334,0.7083333333333334,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.02,pgd,0.6666666666666666,0.6774193548387096,0.664421997755331,0.7083333333333334,0.6666666666666666,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.02,pgd,0.6666666666666666,0.6825396825396826,0.664421997755331,0.7083333333333334,0.6666666666666666,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.05,pgd,0.5666666666666667,0.6119402985074627,0.5681818181818181,0.7083333333333334,0.5666666666666667,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.05,pgd,0.55,0.6086956521739131,0.5681818181818181,0.7083333333333334,0.55,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.1,pgd,0.2916666666666667,0.45161290322580644,0.38468013468013473,0.7083333333333334,0.2916666666666667,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.1,pgd,0.3,0.46153846153846156,0.38468013468013473,0.7083333333333334,0.3,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.15,pgd,0.24166666666666667,0.38926174496644295,0.23456790123456792,0.7083333333333334,0.24166666666666667,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.15,pgd,0.24166666666666667,0.38926174496644295,0.23456790123456792,0.7083333333333334,0.24166666666666667,8.0,2.0,,default.mixed,0,
VQC-angle,quantum,angle,0.2,pgd,0.20833333333333334,0.3448275862068966,0.08417508417508417,0.7083333333333334,0.20833333333333334,8.0,2.0,,default.qubit,0,
VQC-angle-noisy,quantum,angle,0.2,pgd,0.20833333333333334,0.3448275862068966,0.08417508417508417,0.7083333333333334,0.20833333333333334,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.0,fgsm,0.7166666666666667,0.7166666666666667,0.8627946127946128,0.7166666666666667,0.7166666666666667,8.0,2.0,,default.qubit,0,
VQC-amplitude-noisy,quantum,amplitude,0.0,fgsm,0.7166666666666667,0.7166666666666667,0.8627946127946128,0.7166666666666667,0.7166666666666667,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.02,fgsm,0.6416666666666667,0.6614173228346457,0.5976430976430976,0.7166666666666667,0.6416666666666667,8.0,2.0,,default.qubit,0,
VQC-amplitude-noisy,quantum,amplitude,0.02,fgsm,0.6583333333333333,0.6666666666666666,0.5976430976430976,0.7166666666666667,0.6583333333333333,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.05,fgsm,0.2916666666666667,0.45161290322580644,0.4180695847362514,0.7166666666666667,0.2916666666666667,8.0,2.0,,default.qubit,0,
VQC-amplitude-noisy,quantum,amplitude,0.05,fgsm,0.275,0.43137254901960786,0.4180695847362514,0.7166666666666667,0.275,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.1,fgsm,0.24166666666666667,0.38926174496644295,0.15628507295173963,0.7166666666666667,0.24166666666666667,8.0,2.0,,default.qubit,0,
VQC-amplitude-noisy,quantum,amplitude,0.1,fgsm,0.24166666666666667,0.38926174496644295,0.15628507295173963,0.7166666666666667,0.24166666666666667,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.15,fgsm,0.125,0.2222222222222222,0.0,0.7166666666666667,0.125,8.0,2.0,,default.qubit,0,
VQC-amplitude-noisy,quantum,amplitude,0.15,fgsm,0.11666666666666667,0.208955223880597,0.0,0.7166666666666667,0.11666666666666667,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.2,fgsm,0.08333333333333333,0.15384615384615385,0.0,0.7166666666666667,0.08333333333333333,8.0,2.0,,default.qubit,0,
VQC-amplitude-noisy,quantum,amplitude,0.2,fgsm,0.08333333333333333,0.15384615384615385,0.0,0.7166666666666667,0.08333333333333333,8.0,2.0,,default.mixed,0,
VQC-amplitude,quantum,amplitude,0.0,pgd,0.7166666666666667,0.7166666666666667,0.8627946127946128,0.7166666666666667,0.7166666666666667,8.0,2.0,,default.qubit,0,
