model,type,epsilon,attack,accuracy,f1,roc_auc,clean_acc,adv_acc,qubits,depth,shots,backend,seed,encoding,wall_clock_s
VQC-angle,quantum,0.05,pgd,0.6686666666666666,0.6602870813397129,0.6610387621769818,0.768,0.6686666666666666,8.0,2.0,,default.qubit,3,angle,3107.9
VQC-angle,quantum,0.1,pgd,0.5733333333333334,0.5518207282913166,0.44826058741177155,0.768,0.5733333333333334,8.0,2.0,,default.qubit,3,angle,3107.9
VQC-angle,quantum,0.15,pgd,0.23866666666666667,0.22312925170068026,0.13999883334305546,0.768,0.23866666666666667,8.0,2.0,,default.qubit,3,angle,3107.9
VQC-angle,quantum,0.2,pgd,0.09533333333333334,0.17407181984175288,0.007745508370763577,0.768,0.09533333333333334,8.0,2.0,,default.qubit,3,angle,3107.9
VQC-amplitude,quantum,0.0,fgsm,0.7693333333333333,0.7668463611859838,0.9154702356647029,0.7693333333333333,0.7693333333333333,8.0,2.0,,default.qubit,3,amplitude,3415.8
VQC-amplitude,quantum,0.02,fgsm,0.7113333333333334,0.6957132817990161,0.7655420579828501,0.7693333333333333,0.7113333333333334,8.0,2.0,,default.qubit,3,amplitude,3415.8
VQC-amplitude,quantum,0.05,fgsm,0.5813333333333334,0.5552407932011332,0.49491228198098347,0.7693333333333333,0.5813333333333334,8.0,2.0,,default.qubit,3,amplitude,3415.8
VQC-amplitude,quantum,0.1,fgsm,0.05733333333333333,0.10844892812105927,0.04748476054366214,0.7693333333333333,0.05733333333333333,8.0,2.0,,default.qubit,3,amplitude,3415.8
VQC-amplitude,quantum,0.15,fgsm,0.037333333333333336,0.07197943444730077,0.0,0.7693333333333333,0.037333333333333336,8.0,2.0,,default.qubit,3,amplitude,3415.8
VQC-amplitude,quantum,0.2,fgsm,0.03666666666666667,0.0707395498392283,0.0,0.7693333333333333,0.03666666666666667,8.0,2.0,,default.qubit,3,amplitude,3415.8
VQC-amplitude,quantum,0.0,pgd,0.7693333333333333,0.7668463611859838,0.9154702356647029,0.7693333333333333,0.7693333333333333,8.0,2.0,,default.qubit,3,amplitude,3489.6
VQC-amplitude,quantum,0.02,pgd,0.7113333333333334,0.6957132817990161,0.7655220060666161,0.7693333333333333,0.7113333333333334,8.0,2.0,,default.qubit,3,amplitude,3489.6
VQC-amplitude,quantum,0.05,pgd,0.5766666666666667,0.5480427046263345,0.49377114565711955,0.7693333333333333,0.5766666666666667,8.0,2.0,,default.qubit,3,amplitude,3489.6
VQC-amplitude,quantum,0.1,pgd,0.05533333333333333,0.10486418193303854,0.04539936125532287,0.7693333333333333,0.05533333333333333,8.0,2.0,,default.qubit,3,amplitude,3489.6
VQC-amplitude,quantum,0.15,pgd,0.016666666666666666,0.03278688524590164,0.0,0.7693333333333333,0.016666666666666666,8.0,2.0,,default.qubit,3,amplitude,3489.6
VQC-amplitude,quantum,0.2,pgd,0.0006666666666666666,0.0013324450366422385,0.0,0.7693333333333333,0.0006666666666666666,8.0,2.0,,default.qubit,3,amplitude,3489.6
MLP,classical,0.0,fgsm,0.7133333333333334,0.6879535558780842,0.9094903980768775,0.7133333333333334,0.7133333333333334,,,,cpu,4,-,3496.7
MLP,classical,0.02,fgsm,0.672,0.6300751879699248,0.6071452691294659,0.7133333333333334,0.672,,,,cpu,4,-,3496.7
MLP,classical,0.05,fgsm,0.49866666666666665,0.30111524163568776,0.49099129520551826,0.7133333333333334,0.49866666666666665,,,,cpu,4,-,3496.7
MLP,classical,0.1,fgsm,0.414,0.0737618545837724,0.1367121832442289,0.7133333333333334,0.414,,,,cpu,4,-,3496.7
MLP,classical,0.15,fgsm,0.3893333333333333,0.0,0.046763857123822014,0.7133333333333334,0.3893333333333333,,,,cpu,4,-,3496.7
MLP,classical,0.2,fgsm,0.38466666666666666,0.0,0.05343710699285765,0.7133333333333334,0.38466666666666666,,,,cpu,4,-,3496.7
SVM-RBF,classical,0.0,fgsm,0.7713333333333333,0.7592982456140351,0.794228989575785,0.7713333333333333,0.7713333333333333,,,,cpu,4,-,3496.9
SVM-RBF,classical,0.02,fgsm,0.7253333333333334,0.7082152974504249,0.6373282176618438,0.7713333333333333,0.7253333333333334,,,,cpu,4,-,3496.9
SVM-RBF,classical,0.05,fgsm,0.45066666666666666,0.4950980392156863,0.44998804436908035,0.7713333333333333,0.45066666666666666,,,,cpu,4,-,3496.9
SVM-RBF,classical,0.1,fgsm,0.14933333333333335,0.25986078886310904,0.05652914344749288,0.7713333333333333,0.14933333333333335,,,,cpu,4,-,3496.9
SVM-RBF,classical,0.15,fgsm,0.035333333333333335,0.06825499034127495,7.301148653211857e-05,0.7713333333333333,0.035333333333333335,,,,cpu,4,-,3496.9
SVM-RBF,classical,0.2,fgsm,0.0013333333333333333,0.002663115845539281,0.0,0.7713333333333333,0.0013333333333333333,,,,cpu,4,-,3496.9
MLP,classical,0.0,pgd,0.7133333333333334,0.6879535558780842,0.9094903980768775,0.7133333333333334,0.7133333333333334,,,,cpu,4,-,3497.2
MLP,classical,0.02,pgd,0.652,0.601526717557252,0.5837980210236574,0.7133333333333334,0.652,,,,cpu,4,-,3497.2
MLP,classical,0.05,pgd,0.4846666666666667,0.28755760368663597,0.3436522900965394,0.7133333333333334,0.4846666666666667,,,,cpu,4,-,3497.2
MLP,classical,0.1,pgd,0.39,0.07106598984771574,0.0919816960203264,0.7133333333333334,0.39,,,,cpu,4,-,3497.2
MLP,classical,0.15,pgd,0.3586666666666667,0.0,0.08137130174004624,0.7133333333333334,0.3586666666666667,,,,cpu,4,-,3497.2
MLP,classical,0.2,pgd,0.3393333333333333,0.0,0.0747637622088895,0.7133333333333334,0.3393333333333333,,,,cpu,4,-,3497.2
SVM-RBF,classical,0.0,pgd,0.7713333333333333,0.7592982456140351,0.794228989575785,0.7713333333333333,0.7713333333333333,,,,cpu,4,-,3499.0
SVM-RBF,classical,0.02,pgd,0.7246666666666667,0.7072997873848335,0.6372552061753116,0.7713333333333333,0.7246666666666667,,,,cpu,4,-,3499.0
SVM-RBF,classical,0.05,pgd,0.45,0.4947948560930802,0.44884541460485267,0.7713333333333333,0.45,,,,cpu,4,-,3499.0
SVM-RBF,classical,0.1,pgd,0.15066666666666667,0.26187717265353416,0.05218495999883181,0.7713333333333333,0.15066666666666667,,,,cpu,4,-,3499.0
SVM-RBF,classical,0.15,pgd,0.038,0.0720257234726688,0.0003157746792514139,0.7713333333333333,0.038,,,,cpu,4,-,3499.0
SVM-RBF,classical,0.2,pgd,0.006666666666666667,0.0,0.0002774436488220515,0.7713333333333333,0.006666666666666667,,,,cpu,4,-,3499.0
RF,classical-context,0.0,none,0.7706666666666667,0.7624309392265194,0.9396414040838975,0.7706666666666667,0.7706666666666667,,,,cpu,4,-,3499.1
VQC-angle,quantum,0.0,fgsm,0.7606666666666667,0.7552828902522154,0.9128005563475274,0.7606666666666667,0.7606666666666667,8.0,2.0,,default.qubit,4,angle,3846.5
VQC-angle,quantum,0.02,fgsm,0.7033333333333334,0.6850672328379335,0.7692983048558114,0.7606666666666667,0.7033333333333334,8.0,2.0,,default.qubit,4,angle,3846.5
VQC-angle,quantum,0.05,fgsm,0.6093333333333333,0.5867418899858956,0.5754108265082805,0.7606666666666667,0.6093333333333333,8.0,2.0,,default.qubit,4,angle,3846.5
VQC-angle,quantum,0.1,fgsm,0.40066666666666667,0.2825219473264166,0.26624368678802396,0.7606666666666667,0.40066666666666667,8.0,2.0,,default.qubit,4,angle,3846.5
VQC-angle,quantum,0.15,fgsm,0.086,0.15837937384898712,0.015040366225616445,0.7606666666666667,0.086,8.0,2.0,,default.qubit,4,angle,3846.5
VQC-angle,quantum,0.2,fgsm,0.002,0.003992015968063872,0.0,0.7606666666666667,0.002,8.0,2.0,,default.qubit,4,angle,3846.5
VQC-angle,quantum,0.0,pgd,0.7606666666666667,0.7552828902522154,0.9128005563475274,0.7606666666666667,0.7606666666666667,8.0,2.0,,default.qubit,4,angle,3977.5
VQC-angle,quantum,0.02,pgd,0.7033333333333334,0.6850672328379335,0.7692928289943215,0.7606666666666667,0.7033333333333334,8.0,2.0,,default.qubit,4,angle,3977.5
VQC-angle,quantum,0.05,pgd,0.6093333333333333,0.5867418899858956,0.5752848816940126,0.7606666666666667,0.6093333333333333,8.0,2.0,,default.qubit,4,angle,3977.5
VQC-angle,quantum,0.1,pgd,0.4033333333333333,0.29024583663758924,0.2627409607216455,0.7606666666666667,0.4033333333333333,8.0,2.0,,default.qubit,4,angle,3977.5
VQC-angle,quantum,0.15,pgd,0.08666666666666667,0.15950920245398773,0.00530976035804833,0.7606666666666667,0.08666666666666667,8.0,2.0,,default.qubit,4,angle,3977.5
VQC-angle,quantum,0.2,pgd,0.0033333333333333335,0.006644518272425249,0.0,0.7606666666666667,0.0033333333333333335,8.0,2.0,,default.qubit,4,angle,3977.5
VQC-amplitude,quantum,0.0,fgsm,0.7453333333333333,0.7361878453038674,0.9130314551736851,0.7453333333333333,0.7453333333333333,8.0,2.0,,default.qubit,4,amplitude,4285.5
VQC-amplitude,quantum,0.02,fgsm,0.698,0.6766595289079229,0.7296457665202177,0.7453333333333333,0.698,8.0,2.0,,default.qubit,4,amplitude,4285.5
VQC-amplitude,quantum,0.05,fgsm,0.5706666666666667,0.5292397660818714,0.49629192912775005,0.7453333333333333,0.5706666666666667,8.0,2.0,,default.qubit,4,amplitude,4285.5
VQC-amplitude,quantum,0.1,fgsm,0.22866666666666666,0.16941852117731515,0.09859471141297305,0.7453333333333333,0.22866666666666666,8.0,2.0,,default.qubit,4,amplitude,4285.5
VQC-amplitude,quantum,0.15,fgsm,0.002,0.003992015968063872,1.8252871633029706e-06,0.7453333333333333,0.002,8.0,2.0,,default.qubit,4,amplitude,4285.5
VQC-amplitude,quantum,0.2,fgsm,0.0,0.0,0.0,0.7453333333333333,0.0,8.0,2.0,,default.qubit,4,amplitude,4285.5
VQC-amplitude,quantum,0.0,pgd,0.7453333333333333,0.7361878453038674,0.9130314551736851,0.7453333333333333,0.7453333333333333,8.0,2.0,,default.qubit,4,amplitude,4360.5
VQC-amplitude,quantum,0.02,pgd,0.698,0.6766595289079229,0.7296384653715646,0.7453333333333333,0.698,8.0,2.0,,default.qubit,4,amplitude,4360.5
VQC-amplitude,quantum,0.05,pgd,0.5706666666666667,0.5292397660818714,0.49589401652614995,0.7453333333333333,0.5706666666666667,8.0,2.0,,default.qubit,4,amplitude,4360.5
VQC-amplitude,quantum,0.1,pgd,0.23266666666666666,0.1616897305171158,0.09312980164604395,0.7453333333333333,0.23266666666666666,8.0,2.0,,default.qubit,4,amplitude,4360.5
VQC-amplitude,quantum,0.15,pgd,0.002,0.003992015968063872,0.0,0.7453333333333333,0.002,8.0,2.0,,default.qubit,4,amplitude,4360.5
VQC-amplitude,quantum,0.2,pgd,0.0,0.0,0.0,0.7453333333333333,0.0,8.0,2.0,,default.qubit,4,amplitude,4360.5
